rank,address,amount
1,0x17b91262eb977602d7f7959a645bf4e52827b94b40888ae326602804d8f03f5f,6264573000000
2,0x65994bf5df7ee8762896070fdd6f92a8bd6138b201d7c4dbfea4c72c6340322a,4585350000000
3,0xc77d40bef432ed54f9900deba2d3aa5091ea7170125dde12ac9dca62ca327839,2698500000000
4,0xa782bf68799fabc0ce53b67f5790d92148ce89fba02d2144897ee3a1d5d061f4,2539519500000
5,0x4edaf506068ee3ccbe9ec4ca5ddb1e94ca29ea696dcfbfbf669ff32f12c68843,2451750000000
6,0xbab335bfa40432336b93b951534f959e5423a7132204b25b1e5e4b7ae2b03983,2437459500000
7,0xa63a8ec6acdd31d7407c00467d6d5bfd7cd7493b98c2c9eb0370ee9c442c1dca,2421783000000
8,0x965469f47a6a26383176a163d6bb2cf32bf0663a6d710f586a0b3f5707680098,2223018000000
9,0xf0ea80ae7a339103a2d2d0bb846be730dd6a009be1b408df193b90cffa4891d1,1880581500000
10,0xef395ecabe86d4e7792cf4583c39b4fcafead02476c5539f724e462ca3e8e98d,1704780000000
11,0xb2e70cb1742a233e78d403371a36cd6a504fa8389d89dde951dfbbb5e11be645,1691560500000
12,0x173e772e1cbd9238a676e8a29f1f37d88c1952419279bbd2551cf10208f15feb,1690510500000
13,0x935acb8468cf362af7949eb873a6b234178dc968447fa651ddd7389574e5e1fd,1651650000000
14,0x964d3d01b9b433cefa1ce518f05c825e6a7c61c3925ae13c2643aaaa9688ebda,1589910000000
15,0xe95fa3c8915d0044588111a5154a2929100a26706c6687aae3a66ff572d0cb63,1547385000000
16,0x04992d0b4324493868411ab3cecb457c154d0c40178162d120734ea5ab82fb12,1480626000000
17,0x8eee193321063907847ef8d5b969780eb64c6ca73dc8272e2cb97b27416e3cbc,1437660000000
18,0x5d6475eb47a5ef224be3ca25e1f363fe8a67fa49c6103acb331d6b9d6ae3d47d,1420933500000
19,0xad4fcf742d9ba61f87951392049265013128d6cda4b62421b55971edc4e3293f,1415731800000
20,0xb1d4c2962b450abb8f228969241cef1c160669cd3171104575c158c398c1fcec,1334550000000
21,0xe5310bec37c2ea7fb2c8732bbcfb1a0b596b1a05df33a41a97a066960ab6df2e,1319850000000
22,0x8131ad2ec3e0c006a4d29754d30aacdd603db6ad1224a425a78519d2d7821745,1309875000000
23,0x05879b5d320a1a4b2e7996f6b1a123a617dfc5af904cf79e38207fcab9cdf916,1286260500000
24,0x50ba7ba5fd48d84f10daf2b33ffcbb3478867a49c0cd6a2964716ca0f94b61cf,1247500800000
25,0xfffdec5d1673326f1957f505d9ffd0174cb0bdf7a4576716103a04551e4ac24a,1167915000000
26,0x2290bae249486a402698286c85d57ff46d27bf79ad706543d84646ef03a00362,1136100000000
27,0xaeb48e3ac8b2316de4eaac20d9ee409fa0433ef7a13f2a60d25dba39da02bd67,1126650000000
28,0x0c61028d7900c679d33bb2e0e64ca125d5da2a03ed3face88c2e18cb3596d346,1125243000000
29,0xfba878fbb146e35be56cee0ad9c33a87e86b0071ab77411d9791f4f4256ab30b,1122450000000
30,0xb652323937c85b1813596f8aa86fabebdfbffaa454529598d005505b9a376984,1090950000000
31,0xbc9bdd1fa7fd71ebdc968d57c76c6aaad57f22b17c5f00f524ac7649e3f4f7ce,1058400000000
32,0x3ebf86f25567e7ca18a1324330fd5a86e158d941954260a40c68ef119637fe02,1050000000000
33,0x231d808465888f3aaa3c6641c35f455e9e4b7110ba65231f28ef859e0ff614ca,973350000000
34,0x2c15531b26c65adb557ed462ce6a4ab3e2dbced10272905d7d54ff8b32d7ca02,969150000000
35,0xff4dc085b5ac09fdebc20b3c54d3e020d7fab1f19aba3864b567589c916b215c,945000000000
36,0x02f17a6b8b256a02bf629609667babb7dc783c296f3b889eecde9f0a3a7a9fcf,836955000000
37,0x97c74dc2b48a86489e32eaf8f457d2705d22d1a4f1b5654e43cfb9335e057724,716509500000
38,0xbd945bee8b1c801b229456c42c70cb1729aae28827986384fb787e1b6e792392,715050000000
39,0xf130fe6bc100433a37db94c5f908d2772380337016ad6a697bfa4c21ecfce5ec,714000000000
40,0x295aa592edb5d15bc696996d66711801a70ffbb7d5ff5de399169f0eeb505142,696150000000
41,0x73ef149c42d47e31d88b5b62c035551d6766c9573df39b639229e0bec083da29,689020500000
42,0xbb52f0dfd12b027d8d8bb05a8933798b447eb76d085944c58632d3de64fd1049,631155000000
